,status,gender,firstName,level,lastName,userId,ts,auth,page,sessionId,location,itemInSession,userAgent,method,length,song,artist,time,registration
23670107,200,M,Jaxson,paid,Baker,1989666,1539614098000,Logged In,NextSong,13702,"Wichita, KS",145,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:31.0) Gecko/20100101 Firefox/31.0,PUT,261.14567,Martine Boude,Alain Bashung,2018-10-15 14:34:58,2018-08-27 17:28:28
16359376,200,F,Breasia,paid,Griffin,1840143,1542647043000,Logged In,NextSong,195367,"Hartford-West Hartford-East Hartford, CT",24,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",PUT,257.88036,Hold The Night,Lyre le temps,2018-11-19 17:04:03,2018-03-28 11:35:07
2567475,200,M,Mateo,paid,Carter,1603745,1539063659000,Logged In,NextSong,49349,"Napa, CA",147,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,PUT,169.09016,Wake Up Little Susie,Suzi Quatro,2018-10-09 05:40:59,2018-09-27 01:05:45
24293604,200,M,Joshua,free,Garcia,1510873,1540500414000,Logged In,NextSong,21115,"Los Angeles-Long Beach-Anaheim, CA",15,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",PUT,233.37751,Gravity,Sara Bareilles,2018-10-25 20:46:54,2018-09-06 10:52:55
21248281,200,M,Julien,free,Hines,1741473,1538639180000,Logged In,NextSong,5933,"Denver-Aurora-Lakewood, CO",7,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0,PUT,155.32363,Angel In The Snow,Elliott Smith,2018-10-04 07:46:20,2018-09-06 08:08:06
6261775,200,M,Zakk,paid,Anderson,1076237,1539968807000,Logged In,Add to Playlist,98307,"Canton-Massillon, OH",187,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,PUT,,,,2018-10-19 17:06:47,2018-08-04 08:56:36
22538625,200,M,Jacob,paid,Williams,1189652,1542340168000,Logged In,NextSong,26823,"Detroit-Warren-Dearborn, MI",221,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,PUT,325.35465,Groovebone_ Part 1,Rodney Jones,2018-11-16 03:49:28,2018-06-30 18:32:29
22011131,200,F,Cathy,paid,Torres,1839857,1540582566000,Logged In,NextSong,19013,"Batavia, NY",11,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",PUT,140.14649,Shangri-La,M Ward,2018-10-26 19:36:06,2018-09-26 19:45:09
10188168,200,F,Jazahria,paid,Floyd,1720443,1540987822000,Logged In,NextSong,138826,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",20,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0),PUT,169.45587,Shot Of Love,Hot Boogie Chillun,2018-10-31 12:10:22,2018-08-22 21:32:40
15000952,200,F,Keylan,paid,Smith,1608895,1542245564000,Logged In,NextSong,182179,"St. Louis, MO-IL",224,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",PUT,161.56689,I'm Gonna Find Another You,John Mayer,2018-11-15 01:32:44,2018-08-21 06:06:49
